Listing_ID,Sale_Price,Date_Sold,Days_on_Market
L01179,925580.004192771,2023-07-07,65.00556000517325
L00866,105416.0014382316,2023-06-14,38.0046203487711
L00102,1825184.0041347,2023-09-09,22.992622086598924
L00440,1932085.0084187884,2023-10-29,72.01227413695455
L00059,776585.9911571154,2023-05-01,116.00015158626984
L01121,1252918.0116312888,2024-01-07,59.99534080476858
L00324,1537235.0003294677,2023-11-26,6.013271210133903
L00975,308983.0150964557,2023-12-24,40.99539750605583
L00412,184809.0036776458,2024-05-25,106.99055291246842
L00856,1220847.001260433,2024-06-30,62.00691235444723
L00821,1895335.002943501,2024-02-11,53.0062651612863
L00045,480962.9983021546,2023-11-17,90.99244520255954
L00050,655224.9932450264,2023-07-11,45.00305989422069
L00850,1605735.9951829622,2024-03-06,71.98817674120919
L00241,899304.0028009254,2023-08-31,92.0204187220879
L00171,814051.9966429004,2024-05-21,9.994826627590738
L00524,1029698.0002085194,2023-11-12,17.01744480454183
L00766,1341278.9804039611,2023-10-15,73.00425048345903
L00839,1686756.00887227,2023-10-11,85.98873292583167
L00424,1521562.9906130726,2024-06-06,49.9985017469216
L00381,357252.01579798607,2023-11-11,113.007285171667
L00610,1635927.0045758677,2023-08-20,59.9962215224785
L00677,654602.0016088365,2024-03-27,82.99588750994981
L00345,1548930.0040768508,2023-07-10,88.00059277872327
L00110,1644740.005961285,2024-07-04,114.0017982960502
L00278,1063146.9981931509,2023-10-07,39.01261392988701
L00678,979898.0093709418,2024-06-27,46.99455612034521
L00571,1174724.9982576475,2023-12-03,38.99564178445553
L00359,1384520.995086192,2023-12-20,39.00289205178314
L00599,1782209.0045510258,2023-04-26,107.00266125856707
L00391,414127.00044853054,2023-02-03,16.996165602093775
L00894,1222137.9831587544,2023-12-10,36.98454209208516
L00693,1516083.002591926,2023-10-14,88.01784512592954
L00728,1346678.005164858,2024-03-19,78.98743752621664
L00363,1460652.9995358272,2023-11-06,55.008656409924754
L00597,1194547.0112947556,2023-09-06,63.99478474025451
L00428,1678296.9982422574,2024-03-27,103.01135066765043
L00071,985345.003707629,2023-04-23,91.0033439746532
